name,X,Y,Z,factor,weight,distance.Origin,angle.Factor,is.Factor,count,color,color1
ashleygraham,0.055650186,-0.006845842,0.01319651,Factor1,12.08169877,0.057601707,19.44408449,0,147,#891514,0xf6ebcf
tanksgoodnews,-0.02208524,0.049365384,-0.05298883,Factor4,12.2886331,0.075713375,19.14802376,0,137,#a98580,0xf6ebcf
lizzobeeating,0.03385246,0.027047488,0.013612193,Factor9,13.00133122,0.045418581,73.36277718,0,286,#bd5b72,0xf6ebcf
buzzfeed,-0.013013788,0.047609963,-0.036355352,Factor4,12.46735542,0.061300725,8.734202249,0,138,#a98580,0xf6ebcf
msrachelhollis,-0.032332314,-0.085179654,-0.089338772,Factor3,13.75887522,0.127602383,8.311205378,0,192,#891514,0xf6ebcf
sarcasm_only,-0.000913841,0.06379482,-0.055584574,Factor4,12.98049428,0.084618314,12.55121771,0,148,#a98580,0xf6ebcf
joelle_fletcher,-0.012813602,-0.059008921,-0.104600856,Factor3,13.69754159,0.120779056,9.419062119,0,148,#891514,0xf6ebcf
kaitlynbristowe,-0.005592735,-0.076325994,-0.120397487,Factor3,14.27995599,0.142662156,11.73035793,0,123,#891514,0xf6ebcf
jessiejamesdecker,0.00620327,-0.043115803,-0.085392925,Factor3,13.11751735,0.095861383,19.23685557,0,152,#891514,0xf6ebcf
oamato,0.015088733,0.027917925,0.016645714,Factor8,15.61442124,0.035835181,24.23788728,0,171,#d6bc1f,0x392c2c
vanessabryant,0.025433963,0.007263505,-0.00731731,Factor5,12.82950718,0.027444271,39.83808598,0,206,#bd5b72,0xf6ebcf
pink,-0.070242231,-0.02437727,0.069736198,Factor2,13.20704404,0.101938018,20.9748749,0,143,#891514,0xf6ebcf
potterybarn,0.02820338,-0.056372257,-0.099379901,Factor3,13.97285197,0.117684437,28.06867294,0,140,#891514,0xf6ebcf
magnolia,-0.072268311,-0.126284185,-0.14226467,Factor3,15.77024879,0.203493588,9.441652762,0,232,#891514,0xf6ebcf
ayeshacurry,0.073886444,-0.012232221,-0.02538347,Factor5,14.80436633,0.07907689,42.52439128,0,135,#bd5b72,0xf6ebcf
enews,0.060827112,-0.022352662,-0.050724336,Factor1,13.487443,0.082295428,40.20460297,0,295,#891514,0xf6ebcf
zooeydeschanel,-0.079222805,-0.037635434,0.02851865,Factor2,13.41875662,0.092227936,6.941640709,0,126,#891514,0xf6ebcf
archdigest,0.020773045,0.030498291,0.006201905,Factor6,13.71754472,0.037418295,44.34383672,0,155,#bd5b72,0xf6ebcf
hannahbrown,0.017134773,-0.062748437,-0.106675729,Factor3,13.40616922,0.124942699,22.03078028,0,155,#891514,0xf6ebcf
celestebarber,-0.048186033,0.013380657,0.007195889,Factor2,11.55416379,0.050524416,36.45808189,0,156,#891514,0xf6ebcf
courteneycoxofficial,-0.089375788,-0.031695867,0.033575341,Factor2,13.50764612,0.100598026,2.695593576,0,122,#891514,0xf6ebcf
reesesbookclub,-0.044728059,-0.048552055,-0.05551731,Factor3,13.00536347,0.086255858,18.43449399,0,179,#891514,0xf6ebcf
prattprattpratt,-0.184264681,-0.023385241,0.054468537,Factor2,16.54864636,0.193564366,12.97093127,0,283,#891514,0xf6ebcf
chipgaines,-0.110281697,-0.116889726,-0.093720626,Factor3,14.49661406,0.18603445,26.91795503,0,195,#891514,0xf6ebcf
skinnytaste,-0.007874151,-0.038874856,-0.085239992,Factor3,13.10259241,0.094016556,13.70473485,0,157,#891514,0xf6ebcf
dudewithsign,-0.017596831,0.064331202,-0.038690743,Factor4,12.71859077,0.077104641,6.194527367,0,190,#a98580,0xf6ebcf
adele,-0.020208831,-0.035010496,0.044073053,Factor2,12.39022934,0.059804395,41.03682268,0,263,#891514,0xf6ebcf
_theblessedone,-0.033396226,0.152660689,-0.068359524,Factor4,15.67212012,0.170568515,7.393273553,0,171,#a98580,0xf6ebcf
karamo,-0.004486666,0.021882288,0.115987108,Factor9,17.91797174,0.118118474,6.470392103,0,125,#bd5b72,0xf6ebcf
whitepeoplehumor,-0.019001296,0.14918305,-0.04773341,Factor4,15.01368028,0.157781843,12.41867039,0,135,#a98580,0xf6ebcf
sarahjessicaparker,-0.056408069,0.014449288,0.069238837,Factor7,13.32591497,0.090469159,44.34206869,0,154,#d6bc1f,0xf6ebcf
Factor1,0.130593735,-0.055680086,0.005113293,Factor1,20,0.142060344,0,1,34,#891514,0xf6ebcf
Factor2,-0.130290119,-0.046156134,0.056387192,Factor2,20,0.149283018,0,1,57,#891514,0xf6ebcf
Factor3,-0.035839878,-0.084874494,-0.1206423,Factor3,20,0.151798357,0,1,44,#891514,0xf6ebcf
Factor4,-0.018137617,0.126789561,-0.073953334,Factor4,20,0.147897469,0,1,32,#a98580,0xf6ebcf
Factor5,0.043392149,0.001946352,0.017689495,Factor5,20,0.046899735,0,1,33,#bd5b72,0xf6ebcf
Factor6,0.018679739,0.019515089,0.036134802,Factor6,20,0.045116464,0,1,24,#bd5b72,0xf6ebcf
Factor7,0.000365604,0.026976475,0.038926089,Factor7,20,0.047361422,0,1,7,#d6bc1f,0xf6ebcf
Factor8,0.000194795,0.009402396,0.004639172,Factor8,20,0.010486415,0,1,14,#d6bc1f,0x392c2c
Factor9,-0.006047599,0.00722722,0.039120848,Factor9,20,0.040239867,0,1,7,#bd5b72,0xf6ebcf
